Wall time,Step,Value
1733688493.0294142,1024,107.0
1733688681.868677,2048,38.5
1733688872.2643538,3072,61.5
1733689062.8008327,4096,90.0
1733689254.292281,5120,61.5
1733689445.06469,6144,26.5
1733689635.1662142,7168,43.5
1733689824.8345826,8192,29.5
1733690014.8177223,9216,14.5
1733690204.5534575,10240,49.0
1733690395.6043153,11264,160.0
1733690586.1771603,12288,98.0
1733690776.0203245,13312,78.5
1733690966.3399408,14336,56.5
1733691156.7803793,15360,124.5
1733691347.7618372,16384,26.5
1733691537.3749406,17408,115.5
1733691728.77168,18432,26.5
1733691920.6200087,19456,69.5
1733692114.5961525,20480,162.0
1733692308.3292112,21504,111.0
1733692500.797733,22528,25.5
1733692695.3214123,23552,195.0
1733692889.496836,24576,67.0
1733693082.3687475,25600,157.5
1733693274.89665,26624,63.0
1733693467.489585,27648,27.5
1733693660.457913,28672,48.0
1733693854.8767815,29696,81.5
1733694047.7799504,30720,43.0
1733694241.7264204,31744,73.5
1733694435.039924,32768,75.5
1733694627.8048916,33792,68.5
1733694820.8658938,34816,72.5
1733695014.0314684,35840,52.5
1733695207.040276,36864,13.0
1733695399.9897697,37888,59.5
1733695592.4909,38912,67.0
1733695784.9356935,39936,26.5
1733695977.567613,40960,0.0
1733696169.8890977,41984,5.5
1733696363.2964027,43008,97.0
1733696556.794031,44032,43.5
1733696749.5687845,45056,4.5
1733696942.2339869,46080,33.0
1733697134.7994149,47104,23.0
1733697328.5615325,48128,23.0
1733697522.0080276,49152,20.0
1733697714.6380436,50176,30.5
1733697907.5337777,51200,12.5
1733698101.2998104,52224,61.5
1733698294.5665717,53248,84.0
1733698485.157348,54272,65.0
1733698674.7902114,55296,1.5
1733698865.2554169,56320,94.5
1733699055.232378,57344,17.5
1733699245.6108155,58368,128.0
1733699434.6755335,59392,20.0
1733699624.9175591,60416,22.0
1733699815.0313473,61440,38.5
1733700006.0025752,62464,99.0
1733700196.6934958,63488,129.5
1733700386.459993,64512,32.0
1733700575.3216133,65536,4.5
1733700764.4392166,66560,14.5
1733700953.978799,67584,68.0
1733701144.679787,68608,158.5
1733701337.2676518,69632,120.5
1733701530.4545436,70656,28.5
1733701723.422636,71680,10.0
1733701916.55286,72704,90.5
1733702109.3928058,73728,96.0
1733702302.0611103,74752,11.0
1733702495.753444,75776,68.0
1733702689.350125,76800,143.5
1733702882.6715364,77824,84.0
1733703077.0338273,78848,179.5
1733703270.9968123,79872,107.0
1733703463.6537123,80896,40.0
1733703655.7932093,81920,31.0
1733703848.492953,82944,27.5
1733704041.2059999,83968,41.0
1733704233.6445982,84992,31.5
1733704427.7962203,86016,84.0
1733704622.9291985,87040,142.0
1733704816.4395213,88064,106.0
1733705009.474054,89088,48.0
1733705203.2957604,90112,80.0
1733705396.85469,91136,109.0
1733705590.090923,92160,48.0
1733705783.8048246,93184,115.0
1733705977.7865345,94208,102.5
1733706170.8999557,95232,34.0
1733706364.1083553,96256,41.0
1733706557.8962824,97280,22.0
1733706752.1860921,98304,192.0
1733706945.7865102,99328,79.5
1733707139.6218336,100352,158.0
1733707332.9333317,101376,63.5
1733707526.8284469,102400,164.0
1733707721.0904028,103424,127.0
1733707914.1012175,104448,113.0
1733708107.8050284,105472,33.5
1733708301.8866763,106496,146.5
1733708494.4447775,107520,100.0
1733708686.302344,108544,46.0
1733708876.24119,109568,63.0
1733709068.4888523,110592,82.0
1733709262.0648944,111616,160.0
1733709455.171587,112640,0.0
1733709647.805643,113664,0.0
1733709839.611977,114688,83.0
1733710031.7957716,115712,99.0
1733710223.3218992,116736,228.5
1733710413.5856764,117760,114.5
1733710607.9291234,118784,53.5
1733710801.0916545,119808,42.5
1733710994.7797658,120832,62.5
1733711188.4213758,121856,53.0
1733711381.9914033,122880,65.0
1733711574.5865035,123904,77.0
1733711768.3998353,124928,0.0
1733711961.3902788,125952,46.5
1733712154.6307423,126976,46.5
1733712348.85987,128000,165.5
1733712544.2336915,129024,362.5
1733712739.5840178,130048,173.0
1733712934.9235046,131072,237.5
1733713129.7494302,132096,219.5
1733713320.3216555,133120,149.0
1733713511.2776492,134144,204.5
1733713700.591289,135168,87.0
1733713890.1497955,136192,87.5
1733714080.5015926,137216,227.5
1733714269.8777082,138240,2.5
1733714459.740884,139264,210.5
1733714649.143193,140288,0.0
1733714838.639101,141312,56.5
1733715028.1334267,142336,36.0
1733715217.4138348,143360,41.5
1733715406.5325716,144384,5.5
1733715595.8685353,145408,86.0
1733715785.5085347,146432,58.5
1733715974.8525403,147456,20.0
1733716165.2228816,148480,228.5
1733716354.9092824,149504,68.0
1733716544.6091685,150528,76.5
1733716733.7074153,151552,205.0
1733716923.7925081,152576,188.0
1733717115.584329,153600,183.5
1733717305.8789074,154624,145.5
1733717495.6483178,155648,179.5
1733717686.6450083,156672,275.0
1733717876.3814802,157696,133.0
1733718065.8109229,158720,60.5
1733718256.1674592,159744,331.0
1733718446.47487,160768,0.0
1733718635.9755046,161792,263.5
1733718825.7150226,162816,165.0
1733719015.4736607,163840,96.5
1733719206.6457083,164864,363.0
1733719397.9033036,165888,304.0
1733719588.4207926,166912,307.5
1733719778.9564123,167936,63.5
1733719968.8746378,168960,64.5
1733720158.7238905,169984,160.0
1733720349.891579,171008,136.5
1733720539.950357,172032,55.0
1733720729.8566117,173056,115.0
1733720919.8844712,174080,130.0
1733721109.1586092,175104,29.5
1733721298.8590446,176128,136.5
1733721489.0032883,177152,190.0
1733721679.0248377,178176,147.0
1733721868.637299,179200,135.5
1733722058.1532025,180224,66.5
1733722248.9668345,181248,245.5
1733722440.815671,182272,384.0
1733722631.9814966,183296,128.0
1733722823.0731947,184320,295.5
1733723012.6947744,185344,42.0
1733723202.2765524,186368,73.0
1733723391.9453132,187392,49.5
1733723581.30729,188416,72.5
1733723771.0172224,189440,35.5
1733723960.8269858,190464,82.5
1733724150.774759,191488,49.0
1733724342.1228797,192512,15.0
1733724533.1795397,193536,232.0
1733724722.749808,194560,8.0
1733724912.797796,195584,84.0
1733725102.8704598,196608,85.0
1733725292.4928489,197632,1.0
1733725482.9168093,198656,15.5
