Wall time,Step,Value
1733729738.203493,1024,130.0
1733729922.3289068,2048,11.0
1733730106.834885,3072,46.5
1733730292.507709,4096,28.0
1733730477.043851,5120,22.0
1733730661.7372394,6144,47.0
1733730847.2433343,7168,101.5
1733731032.0922256,8192,75.0
1733731216.6798568,9216,6.5
1733731401.7969642,10240,124.0
1733731586.3106472,11264,43.5
1733731771.2986941,12288,162.5
1733731956.7960649,13312,179.5
1733732141.9381568,14336,109.5
1733732327.6049688,15360,120.0
1733732512.1103468,16384,137.5
1733732697.2172704,17408,99.0
1733732881.5767972,18432,133.0
1733733065.667823,19456,14.5
1733733250.8111103,20480,43.5
1733733435.8614736,21504,38.0
1733733620.0666413,22528,34.0
1733733804.9760318,23552,132.5
1733733989.807511,24576,104.0
1733734174.743327,25600,136.0
1733734360.1434038,26624,174.5
1733734544.3554022,27648,28.0
1733734728.9737785,28672,84.5
1733734913.0945325,29696,2.5
1733735096.7883458,30720,7.0
1733735281.8953247,31744,146.0
1733735466.5497296,32768,21.5
1733735650.924955,33792,117.0
1733735835.7803566,34816,83.0
1733736021.0211947,35840,165.0
1733736206.8260922,36864,351.0
1733736392.5694184,37888,134.5
1733736576.9206688,38912,153.5
1733736762.7686756,39936,96.0
1733736948.2894757,40960,345.0
1733737132.9414177,41984,60.0
1733737317.3182,43008,59.5
1733737501.6633823,44032,104.5
1733737685.6885388,45056,140.5
1733737871.3948357,46080,270.5
1733738056.8498363,47104,185.0
1733738242.1612246,48128,24.5
1733738426.601863,49152,6.0
1733738611.5612626,50176,131.5
1733738796.3790722,51200,103.0
1733738980.5950994,52224,67.0
1733739164.7529805,53248,30.5
1733739349.5018747,54272,69.5
1733739533.149204,55296,69.5
1733739717.3036757,56320,27.5
1733739901.7754385,57344,22.0
1733740085.939185,58368,24.0
1733740270.0076125,59392,52.0
1733740454.7540667,60416,114.5
1733740639.8636527,61440,74.5
1733740825.3538718,62464,183.5
1733741010.7399328,63488,69.0
1733741195.8692324,64512,16.5
1733741380.4739654,65536,78.0
1733741565.725405,66560,77.0
1733741751.9124334,67584,213.5
1733741937.4016924,68608,54.5
1733742122.9549153,69632,192.0
1733742308.923488,70656,86.0
1733742494.2614408,71680,34.0
1733742679.2611418,72704,95.5
1733742864.328274,73728,82.0
1733743049.3262784,74752,78.0
1733743234.2142181,75776,149.5
1733743419.1106992,76800,32.5
1733743604.33616,77824,136.0
1733743789.929542,78848,93.0
1733743975.6728387,79872,177.0
1733744161.805265,80896,91.0
1733744347.852463,81920,163.5
1733744533.8889794,82944,32.5
1733744719.4637334,83968,63.5
1733744906.1142466,84992,27.0
1733745092.7987232,86016,83.5
1733745278.156518,87040,126.5
1733745464.3781185,88064,191.5
1733745650.7026315,89088,273.0
1733745837.7913318,90112,306.0
1733746024.4153767,91136,136.5
1733746211.2353208,92160,223.5
1733746398.2931187,93184,294.0
1733746584.6994667,94208,112.0
1733746770.4521563,95232,137.5
1733746957.0914216,96256,204.0
1733747143.3790364,97280,180.5
1733747328.4822283,98304,60.5
1733747514.2825167,99328,87.5
1733747701.2245154,100352,283.5
1733747888.3596525,101376,87.0
1733748075.0731173,102400,333.0
1733748261.2385707,103424,92.5
1733748446.4656456,104448,53.5
1733748631.727843,105472,118.5
1733748818.238732,106496,254.5
1733749003.950428,107520,20.0
1733749189.0480728,108544,156.0
1733749374.6918643,109568,118.0
1733749560.0854487,110592,36.5
1733749744.8403764,111616,26.0
1733749930.580655,112640,170.0
1733750116.6770515,113664,122.0
1733750302.2347162,114688,70.5
1733750487.5513396,115712,65.0
1733750672.4236763,116736,57.5
1733750858.249224,117760,39.0
1733751043.4432058,118784,38.5
1733751228.2331374,119808,16.0
1733751413.8921273,120832,0.0
1733751599.166208,121856,62.0
1733751784.741867,122880,47.0
1733751970.049536,123904,107.0
1733752155.266204,124928,11.0
1733752340.3271198,125952,4.0
1733752526.0350826,126976,12.0
1733752712.6044672,128000,21.5
1733752898.1044655,129024,75.0
1733753083.8211887,130048,4.5
1733753269.3639898,131072,82.0
1733753455.3387341,132096,34.5
1733753640.8099148,133120,41.0
1733753826.3022742,134144,92.0
1733754012.8559232,135168,155.5
1733754199.874021,136192,202.0
1733754386.0675018,137216,112.5
1733754572.2527742,138240,61.0
1733754758.7429934,139264,229.5
1733754945.172933,140288,164.5
1733755130.8236902,141312,93.5
1733755316.4454956,142336,127.0
1733755501.370173,143360,26.0
1733755687.05693,144384,59.0
1733755872.9125993,145408,111.5
1733756058.6144667,146432,136.5
1733756244.4458368,147456,87.5
1733756430.6137028,148480,69.0
1733756617.653087,149504,48.5
1733756803.293967,150528,92.0
1733756988.6422703,151552,92.5
1733757174.189038,152576,152.5
1733757360.078651,153600,88.0
1733757545.2326398,154624,68.0
1733757731.132848,155648,8.5
1733757916.447853,156672,49.0
1733758102.1478267,157696,14.5
1733758288.1125038,158720,88.0
1733758474.4884994,159744,152.0
1733758660.5699635,160768,96.5
1733758846.6186328,161792,104.0
1733759032.0001984,162816,50.0
1733759218.5272574,163840,6.5
1733759405.8441582,164864,183.5
1733759593.1432564,165888,122.5
1733759779.70691,166912,107.0
1733759966.4193864,167936,90.5
1733760153.0199227,168960,153.5
1733760339.716169,169984,35.0
1733760527.8104477,171008,171.5
1733760714.332364,172032,111.0
1733760900.0505486,173056,46.0
1733761086.370056,174080,27.5
1733761272.5165186,175104,90.5
1733761458.6965604,176128,49.0
1733761645.530133,177152,114.0
1733761832.3426933,178176,175.0
1733762019.172041,179200,135.0
1733762206.6002247,180224,231.0
1733762393.184649,181248,47.5
1733762579.9311104,182272,103.0
1733762767.1620004,183296,265.0
1733762954.272854,184320,252.0
1733763141.0469286,185344,20.5
1733763327.901769,186368,79.5
1733763515.0603285,187392,167.5
1733763700.9129608,188416,64.5
1733763886.8424668,189440,50.0
1733764073.3783467,190464,49.5
1733764260.6658614,191488,263.0
1733764449.0308795,192512,189.0
1733764636.195374,193536,155.5
1733764824.8621984,194560,467.0
1733765013.4719198,195584,355.5
1733765200.2206035,196608,84.0
1733765386.9791615,197632,103.5
1733765573.8019116,198656,273.0
1733765762.3252058,199680,353.5
1733765950.870626,200704,331.0
